Status,Brand,Model,CPU,RAM,Storage,Storagetype,GPU,Screen,Touch,FinalPrice
New,Asus,ExpertBook,Intel Core i5,8,512,SSD,RTX 3050,15.6,No,1009.0
New,Alurin,Go,Intel Celeron,8,256,SSD,RTX 3050,15.6,No,299.0
New,Asus,ExpertBook,Intel Core i3,8,256,SSD,RTX 3050,15.6,No,789.0
New,MSI,Katana,Intel Core i7,16,1000,SSD,RTX 3050,15.6,No,1199.0
New,HP,15S,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,669.01
New,MSI,Crosshair,Intel Core i7,32,1000,SSD,RTX 4060,17.3,No,1699.0
New,Lenovo,ThinkPad,AMD Ryzen 5,8,256,SSD,RTX 3050,14.0,No,909.0
New,Asus,VivoBook,Intel Core i7,8,512,SSD,RTX 3050,15.6,No,809.01
New,Medion,Akoya,Intel Core i5,8,256,SSD,RTX 3050,15.6,No,519.0
New,HP,Victus,Intel Core i7,16,512,SSD,RTX 3050,16.1,No,1149.0
New,Lenovo,V15,Intel Celeron,8,256,SSD,RTX 3050,15.6,No,349.0
New,MSI,Thin,Intel Core i7,16,1000,SSD,RTX 4050,15.6,No,1399.0
New,Asus,ROG,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,1199.0
New,Lenovo,V15,AMD Ryzen 5,16,512,SSD,RTX 3050,15.6,No,476.99
New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,RTX 3050,15.6,No,391.0
New,HP,15S,Intel Core i5,8,512,SSD,RTX 3050,15.6,No,699.0
New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,799.0
New,HP,15S,Intel Core i3,8,512,SSD,RTX 3050,15.6,No,549.0
New,Asus,VivoBook,Intel Core i7,8,512,SSD,RTX 3050,15.6,No,769.0
New,MSI,Thin,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,999.0
New,MSI,Cyborg,Intel Core i5,16,1000,SSD,RTX 4060,15.6,No,1249.0
New,Asus,M515UA,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,789.0
New,Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,729.0
New,Asus,TUF,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1099.0
New,Acer,Aspire,Intel Core i3,8,256,SSD,RTX 3050,15.6,No,539.01
New,Asus,TUF,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,1179.0
New,Alurin,Go,Intel Celeron,8,256,SSD,RTX 3050,14.0,No,239.0
New,HP,Victus,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,999.0
New,HP,Pavilion,AMD Ryzen 5,16,512,SSD,RTX 3050,15.6,No,799.0
New,Lenovo,IdeaPad,Intel Core i5,8,512,SSD,RTX 3050,15.6,No,519.01
New,HP,15S,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,789.0
New,MSI,Katana,Intel Core i7,16,512,SSD,RTX 4060,15.6,No,1549.0
New,Asus,VivoBook,Intel Core i3,8,256,SSD,RTX 3050,15.6,No,539.01
New,HP,15S,Intel Core i3,8,256,SSD,RTX 3050,15.6,No,539.0
New,MSI,Vector,Intel Core i7,32,1000,SSD,RTX 4060,17.3,No,2249.0
New,Asus,VivoBook,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,1299.01
New,Asus,ROG,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,1139.01
New,Asus,Chromebook,Intel Celeron,8,64,eMMC,RTX 3050,15.6,No,399.0
New,HP,15S,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,789.0
New,HP,15S,AMD Ryzen 5,8,512,SSD,RTX 3050,15.6,No,599.01
New,HP,Omen,Intel Core i7,32,1000,SSD,RTX 3060,16.1,No,1699.0
New,Asus,VivoBook,Intel Core i5,8,512,SSD,RTX 3050,15.6,No,609.0
New,Asus,ZenBook,Intel Core i7,16,512,SSD,RTX 3050,13.3,No,1089.0
New,HP,Victus,Intel Core i7,16,512,SSD,RTX 3060,16.1,No,1399.0
New,HP,15S,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,899.01
New,HP,15S,AMD Ryzen 5,12,512,SSD,RTX 3050,15.6,No,549.0
New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,929.0
New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4050,16.0,No,1899.01
New,Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,829.0
New,HP,15S,Intel Core i3,8,256,SSD,RTX 3050,15.6,No,449.0
New,Apple,MacBook Air,Apple M1,8,256,SSD,RTX 3050,13.3,No,1219.0
New,Lenovo,ThinkBook,Intel Core i5,8,256,SSD,RTX 3050,14.0,No,699.0
New,Asus,TUF,AMD Ryzen 7,16,1000,SSD,RTX 4060,15.6,No,1349.0
New,MSI,Katana,Intel Core i7,16,1000,SSD,RTX 4070,15.6,No,1699.0
New,Asus,M515UA,AMD Ryzen 5,8,512,SSD,RTX 3050,15.6,No,699.0
New,HP,Victus,AMD Ryzen 7,16,512,SSD,RTX 3060,16.1,No,1299.01
New,HP,250,Intel Celeron,8,256,SSD,RTX 3050,15.6,No,399.0
New,HP,Omen,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,No,1149.0
New,MSI,Modern,AMD Ryzen 5,16,512,SSD,RTX 3050,15.6,No,839.0
New,HP,255,AMD Athlon,8,512,SSD,RTX 3050,15.6,No,379.0
New,Asus,VivoBook,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,809.01
New,Lenovo,V15,Intel Core i5,8,512,SSD,RTX 3050,15.6,No,779.0
New,Asus,VivoBook,Intel Core i7,8,512,SSD,RTX 3050,15.6,No,749.0
New,MSI,Thin,Intel Core i5,16,512,SSD,RTX 4050,15.6,No,1099.0
New,MSI,Modern,Intel Core i7,16,1000,SSD,RTX 3050,15.6,No,999.0
New,HP,15S,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,649.01
New,MSI,Vector,Intel Core i7,32,1000,SSD,RTX 4070,17.3,No,2499.0
New,Asus,VivoBook,Intel Core i7,8,512,SSD,RTX 3050,15.6,No,859.0
New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 3050,16.0,No,1499.01
New,Apple,MacBook Pro,Apple M2,8,256,SSD,RTX 3050,13.3,No,1599.0
New,Asus,TUF,AMD Ryzen 9,32,512,SSD,RTX 4070,15.6,No,1699.01
New,MSI,Katana,Intel Core i7,16,1000,SSD,RTX 4060,15.6,No,1699.0
New,HP,Victus,Intel Core i7,16,512,SSD,RTX 3050,16.1,No,1199.0
New,MSI,Modern,Intel Core i7,16,1000,SSD,RTX 3050,14.0,No,999.0
New,MSI,Modern,Intel Core i3,8,256,SSD,RTX 3050,15.6,No,499.0
New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,RTX 3050,15.6,No,499.0
New,MSI,Prestige,Intel Core i5,16,512,SSD,RTX 2050,14.0,No,999.0
New,Lenovo,IdeaPad,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,749.0
New,Lenovo,ThinkBook,Intel Core i5,8,256,SSD,RTX 3050,15.6,No,879.0
New,MSI,Prestige,Intel Core i7,16,1000,SSD,RTX 2050,14.0,No,1489.0
New,HP,Pavilion,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,999.0
New,HP,Victus,Intel Core i5,16,512,SSD,GTX 1650,15.6,No,999.0
New,Lenovo,IdeaPad,Intel Core i5,8,512,SSD,RTX 3050,15.6,No,589.0
New,Lenovo,ThinkBook,Intel Core i5,8,256,SSD,RTX 3050,14.0,No,959.0
New,HP,Victus,Intel Core i5,16,512,SSD,GTX 1650,15.6,No,1039.0
New,Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,RTX 3050,15.6,No,599.0
New,HP,15S,Intel Core i7,8,512,SSD,RTX 3050,15.6,No,739.01
New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4060,16.0,No,2449.0
New,Acer,Aspire,Intel Core i7,8,512,SSD,RTX 3050,15.6,No,839.0
New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,RTX 3050,15.6,No,499.0
New,Lenovo,IdeaPad,AMD Ryzen 7,8,512,SSD,RTX 3050,15.6,No,699.0
New,MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 4060,15.6,No,2399.01
New,Lenovo,IdeaPad,AMD 3020e,4,128,SSD,RTX 3050,15.6,No,442.99
New,Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,RTX 3050,15.6,No,689.01
New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,749.0
New,Lenovo,IdeaPad,AMD 3020e,4,256,SSD,RTX 3050,15.6,No,321.99
New,MSI,Modern,Intel Core i5,8,512,SSD,RTX 3050,15.6,No,599.0
New,Asus,ZenBook,Intel Core i7,16,512,SSD,RTX 3050,13.3,No,1199.0
New,Asus,TUF,Intel Core i5,16,512,SSD,RTX 2050,15.6,No,949.0
New,Asus,VivoBook,Intel Core i5,16,512,SSD,RTX 3050,16.0,No,799.0
New,Razer,Blade,Intel Core i7,16,1000,SSD,RTX 3070,15.6,No,3299.99
New,Medion,Akoya,AMD Ryzen 7,8,256,SSD,RTX 3050,15.6,No,478.99
New,Asus,ExpertBook,Intel Core i5,8,256,SSD,RTX 3050,15.6,No,989.0
New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,RTX 3050,15.6,No,439.99
New,HP,15S,AMD Ryzen 3,8,256,SSD,RTX 3050,15.6,No,529.0
New,Asus,VivoBook,Intel Core i7,8,512,SSD,RTX 3050,16.0,No,709.0
New,Asus,VivoBook,AMD Ryzen 5,8,512,SSD,610 M,15.6,No,509.99
New,Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,RTX 3050,15.6,No,659.0
New,Lenovo,IdeaPad,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,749.0
New,Lenovo,IdeaPad,AMD Ryzen 7,8,512,SSD,RTX 3050,15.6,No,589.0
New,Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,RTX 3050,15.6,No,549.0
New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,RTX 3050,15.6,No,459.0
New,Asus,VivoBook,Intel Core i7,8,512,SSD,RTX 3050,16.0,No,819.0
New,Asus,VivoBook,Intel Core i5,8,512,SSD,RTX 3050,16.0,No,609.01
New,Asus,ZenBook,AMD Ryzen 7,16,512,SSD,RTX 3050,14.0,No,999.0
New,Acer,Aspire,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,739.01
